NIVEL1;NIVEL2;NIVEL3;CATEGORIA;VALOR
IL;Alto Rubro;Vara 4;Banco Meridiano;13
LS;Porto Nobre;Vara 5;Banco Aurora;12
VN;Monte Claro do Vale;Vara 3;Crediluz;33
MR;Monte Claro do Vale;Vara 2;Banco Aurora;57
TB;Porto Nobre;Vara 5;Banco Solaris;12
PN;Porto Nobre;Vara 2;Banco Aurora;18
VN;Serra Nova;Vara 1;Banco Aurora;40
VN;Porto Nobre;Vara 2;Banco Aurora;13
TB;Porto Nobre;Vara 5;Norvel Crédito;18
MR;Porto Nobre;Vara 1;Banco Vantis;34
LS;Porto Nobre;Vara 1;Banco Cordilheira;12
PN;Alto Rubro;Vara 2;Banco Meridiano;15
IL;Porto Nobre;Vara 3;Crediluz;45
SA;Porto Nobre;Vara 6;Banco Meridiano;15
MR;Porto Nobre;Vara 4;Banco Aurora;29
LS;Porto Nobre;Vara 4;Crediluz;28
MR;Porto Nobre;Vara 3;Crediluz;72
SA;Porto Nobre;Vara 6;Banco Meridiano;11
SA;Porto Nobre;Vara 3;Norvel Crédito;10
CV;Vila Aurora;Vara 6;Crediluz;33
PN;Porto Nobre;Vara 5;Banco Vantis;13
TB;Porto Nobre;Vara 2;Banco Meridiano;14
SD;Santa Elis;Vara 6;Banco Cordilheira;8
TB;Porto Nobre;Vara 4;Banco Aurora;16
SA;Porto Nobre;Vara 2;Banco Aurora;16
VN;Porto Nobre;Vara 3;Banco Aurora;43
LS;Porto Nobre;Vara 4;Banco Aurora;6
CV;Porto Nobre;Vara 6;Banco Aurora;12
SA;Porto Nobre;Vara 2;Banco Aurora;16
VN;Pedra Fria;Vara 2;Banco Aurora;38
IL;Porto Nobre;Vara 4;Banco Vantis;6
SA;Pedra Fria;Vara 6;Crediluz;28
SA;Porto Nobre;Vara 6;Banco Aurora;16
SA;Monte Claro do Vale;Vara 2;Banco Aurora;8
VN;Serra Nova;Vara 4;Crediluz;24
VN;Monte Claro do Vale;Vara 5;Banco Cordilheira;26
MR;Porto Nobre;Vara 3;Banco Vantis;41
LS;Porto Nobre;Vara 4;Banco Aurora;14
VN;Porto Nobre;Vara 3;Banco Aurora;10
TB;Porto Nobre;Vara 4;Banco Aurora;8
LS;Porto Nobre;Vara 4;Banco Vantis;23
VN;Porto Nobre;Vara 3;Crediluz;20
TB;Cruzeiro Novo;Vara 4;Banco Aurora;46
SA;Vila Aurora;Vara 2;Crediluz;15
VN;Porto Nobre;Vara 5;Banco Aurora;11
CV;Porto Nobre;Vara 1;Banco Meridiano;16
CV;Porto Nobre;Vara 3;Norvel Crédito;38
VN;Cruzeiro Novo;Vara 6;Banco Aurora;7
IL;Porto Nobre;Vara 3;Banco Aurora;40
PN;Vila Aurora;Vara 5;Banco Vantis;11
SA;Porto Nobre;Vara 2;Norvel Crédito;9
CV;Porto Nobre;Vara 5;Banco Vantis;8
MR;Santa Elis;Vara 6;Banco Meridiano;35
CV;Porto Nobre;Vara 4;Banco Meridiano;44
SA;Barra Limpa;Vara 3;Banco Meridiano;17
IL;Porto Nobre;Vara 2;Banco Meridiano;18
IL;Porto Nobre;Vara 1;Banco Vantis;7
VN;Barra Limpa;Vara 5;Banco Aurora;15
VN;Porto Nobre;Vara 4;Norvel Crédito;7
SA;Porto Nobre;Vara 6;Banco Vantis;67
VN;Porto Nobre;Vara 1;Crediluz;27
VN;Porto Nobre;Vara 3;Banco Meridiano;15
PN;Porto Nobre;Vara 5;Banco Aurora;14
PN;Pedra Fria;Vara 2;Banco Vantis;7
SA;Cruzeiro Novo;Vara 4;Banco Meridiano;11
IL;Serra Nova;Vara 2;Crediluz;47
SA;Porto Nobre;Vara 6;Crediluz;30
TB;Porto Nobre;Vara 6;Banco Aurora;11
TB;Monte Claro do Vale;Vara 3;Banco Aurora;11
MR;Porto Nobre;Vara 3;Banco Aurora;49
PN;Serra Nova;Vara 3;Banco Vantis;11
VN;Porto Nobre;Vara 6;Norvel Crédito;48
SA;Alto Rubro;Vara 5;Crediluz;124
CV;Porto Nobre;Vara 4;Banco Solaris;49
SA;Porto Nobre;Vara 5;Banco Meridiano;34
SA;Porto Nobre;Vara 2;Banco Vantis;12
CV;Pedra Fria;Vara 5;Norvel Crédito;21
PN;Porto Nobre;Vara 4;Crediluz;35
SA;Porto Nobre;Vara 2;Banco Solaris;14
PN;Porto Nobre;Vara 2;Banco Solaris;14
PN;Porto Nobre;Vara 2;Banco Aurora;40
VN;Porto Nobre;Vara 4;Banco Aurora;13
CV;Porto Nobre;Vara 1;Crediluz;21
VN;Porto Nobre;Vara 2;Crediluz;19
CV;Alto Rubro;Vara 1;Banco Aurora;15
LS;Porto Nobre;Vara 2;Banco Aurora;14
SA;Porto Nobre;Vara 5;Banco Vantis;10
SA;Porto Nobre;Vara 5;Crediluz;26
VN;Porto Nobre;Vara 5;Banco Meridiano;37
VN;Porto Nobre;Vara 5;Banco Aurora;13
PN;Porto Nobre;Vara 3;Banco Aurora;15
MR;Porto Nobre;Vara 6;Banco Meridiano;70
CV;Porto Nobre;Vara 2;Banco Vantis;11
SD;Porto Nobre;Vara 6;Banco Aurora;9
SD;Monte Claro do Vale;Vara 3;Crediluz;21
SA;Porto Nobre;Vara 5;Banco Cordilheira;8
PN;Vila Aurora;Vara 1;Banco Solaris;14
VN;Porto Nobre;Vara 3;Banco Meridiano;28
VN;Porto Nobre;Vara 2;Norvel Crédito;83
MR;Porto Nobre;Vara 2;Crediluz;81
VN;Porto Nobre;Vara 3;Norvel Crédito;229
SA;Vila Aurora;Vara 4;Banco Aurora;17
VN;Barra Limpa;Vara 3;Banco Aurora;12
LS;Porto Nobre;Vara 1;Norvel Crédito;11
CV;Porto Nobre;Vara 2;Banco Meridiano;21
VN;Porto Nobre;Vara 2;Banco Solaris;6
TB;Cruzeiro Novo;Vara 2;Banco Aurora;14
SA;Cruzeiro Novo;Vara 3;Banco Meridiano;10
VN;Cruzeiro Novo;Vara 1;Banco Meridiano;15
CV;Serra Nova;Vara 6;Crediluz;35
IL;Vila Aurora;Vara 2;Crediluz;33
SA;Lagoa Azul;Vara 4;Banco Vantis;7
MR;Porto Nobre;Vara 3;Banco Aurora;47
SA;Porto Nobre;Vara 6;Banco Meridiano;12
BC;Porto Nobre;Vara 6;Crediluz;19
PN;Porto Nobre;Vara 4;Banco Aurora;14
VN;Barra Limpa;Vara 1;Banco Aurora;10
SA;Porto Nobre;Vara 2;Banco Aurora;13
LS;Alto Rubro;Vara 1;Banco Meridiano;173
IL;Monte Claro do Vale;Vara 5;Banco Aurora;22
IL;Porto Nobre;Vara 3;Norvel Crédito;39
PN;Porto Nobre;Vara 3;Banco Aurora;14
IL;Vila Aurora;Vara 6;Banco Meridiano;18
CV;Cruzeiro Novo;Vara 6;Banco Vantis;13
CV;Porto Nobre;Vara 3;Banco Meridiano;20
LS;Porto Nobre;Vara 6;Banco Solaris;9
SA;Porto Nobre;Vara 6;Norvel Crédito;51
TB;Cruzeiro Novo;Vara 2;Banco Aurora;13
MR;Porto Nobre;Vara 6;Banco Aurora;41
CV;Cruzeiro Novo;Vara 3;Banco Meridiano;17
SA;Serra Nova;Vara 5;Banco Meridiano;25
SA;Serra Nova;Vara 4;Banco Aurora;15
SD;Porto Nobre;Vara 1;Banco Aurora;8
LS;Pedra Fria;Vara 4;Norvel Crédito;31
CV;Alto Rubro;Vara 2;Banco Meridiano;16
VN;Porto Nobre;Vara 6;Banco Vantis;22
BC;Cruzeiro Novo;Vara 6;Banco Vantis;5
SA;Vila Aurora;Vara 4;Banco Meridiano;11
SA;Porto Nobre;Vara 3;Banco Aurora;44
SA;Porto Nobre;Vara 5;Banco Aurora;13
VN;Serra Nova;Vara 6;Banco Solaris;27
CV;Porto Nobre;Vara 6;Banco Meridiano;10
LS;Porto Nobre;Vara 6;Banco Aurora;15
PN;Porto Nobre;Vara 1;Banco Meridiano;17
PN;Porto Nobre;Vara 1;Banco Vantis;14
CV;Monte Claro do Vale;Vara 1;Banco Aurora;21
SD;Pedra Fria;Vara 3;Banco Meridiano;14
MR;Santa Elis;Vara 5;Banco Vantis;39
VN;Porto Nobre;Vara 6;Banco Aurora;6
CV;Porto Nobre;Vara 6;Banco Vantis;14
CV;Barra Limpa;Vara 2;Banco Aurora;21
SA;Porto Nobre;Vara 5;Norvel Crédito;31
CV;Porto Nobre;Vara 4;Banco Meridiano;15
SA;Pedra Fria;Vara 6;Banco Aurora;8
CV;Serra Nova;Vara 5;Crediluz;30
SA;Porto Nobre;Vara 5;Banco Aurora;11
VN;Porto Nobre;Vara 1;Banco Aurora;14
SA;Lagoa Azul;Vara 3;Banco Aurora;15
IL;Porto Nobre;Vara 1;Crediluz;26
TB;Santa Elis;Vara 4;Crediluz;25
MR;Porto Nobre;Vara 6;Banco Aurora;41
VN;Porto Nobre;Vara 3;Banco Aurora;7
SA;Pedra Fria;Vara 3;Banco Aurora;8
MR;Alto Rubro;Vara 5;Banco Meridiano;46
SD;Porto Nobre;Vara 1;Crediluz;46
TB;Cruzeiro Novo;Vara 6;Banco Aurora;10
LS;Pedra Fria;Vara 2;Banco Aurora;31
PN;Monte Claro do Vale;Vara 2;Banco Cordilheira;16
CV;Monte Claro do Vale;Vara 4;Banco Aurora;18
MR;Porto Nobre;Vara 3;Banco Vantis;39
SA;Lagoa Azul;Vara 5;Norvel Crédito;15
SA;Porto Nobre;Vara 5;Banco Aurora;13
SD;Porto Nobre;Vara 4;Banco Meridiano;249
TB;Porto Nobre;Vara 3;Banco Meridiano;28
MR;Porto Nobre;Vara 4;Banco Vantis;51
MR;Serra Nova;Vara 6;Crediluz;128
SA;Lagoa Azul;Vara 4;Banco Solaris;15
TB;Monte Claro do Vale;Vara 5;Banco Meridiano;14
SD;Monte Claro do Vale;Vara 1;Banco Meridiano;11
VN;Porto Nobre;Vara 5;Banco Solaris;7
LS;Porto Nobre;Vara 1;Banco Aurora;6
PN;Porto Nobre;Vara 3;Banco Meridiano;32
LS;Alto Rubro;Vara 6;Norvel Crédito;13
SD;Porto Nobre;Vara 4;Banco Aurora;13
IL;Porto Nobre;Vara 3;Crediluz;123
SA;Porto Nobre;Vara 1;Banco Aurora;18
LS;Porto Nobre;Vara 1;Banco Vantis;11
SA;Porto Nobre;Vara 3;Banco Aurora;13
SA;Barra Limpa;Vara 2;Banco Solaris;8
SA;Porto Nobre;Vara 3;Crediluz;17
SA;Alto Rubro;Vara 6;Banco Aurora;57
LS;Porto Nobre;Vara 1;Norvel Crédito;11
VN;Porto Nobre;Vara 5;Banco Vantis;27
CV;Lagoa Azul;Vara 3;Banco Vantis;10
VN;Barra Limpa;Vara 3;Banco Vantis;25
SA;Barra Limpa;Vara 5;Banco Meridiano;15
IL;Porto Nobre;Vara 4;Banco Aurora;16
TB;Cruzeiro Novo;Vara 6;Norvel Crédito;17
MR;Barra Limpa;Vara 5;Banco Meridiano;68
SA;Porto Nobre;Vara 6;Crediluz;37
VN;Santa Elis;Vara 1;Banco Meridiano;8
PN;Porto Nobre;Vara 2;Banco Solaris;8
MR;Porto Nobre;Vara 5;Norvel Crédito;55
PN;Porto Nobre;Vara 1;Banco Meridiano;30
SA;Porto Nobre;Vara 4;Banco Aurora;12
BC;Porto Nobre;Vara 6;Banco Meridiano;10
SA;Porto Nobre;Vara 2;Banco Aurora;14
MR;Santa Elis;Vara 2;Banco Aurora;43
SA;Porto Nobre;Vara 4;Banco Aurora;8
PN;Porto Nobre;Vara 5;Crediluz;17
SA;Porto Nobre;Vara 2;Banco Vantis;12
SD;Vila Aurora;Vara 5;Banco Aurora;170
MR;Porto Nobre;Vara 4;Banco Vantis;90
SD;Porto Nobre;Vara 2;Banco Aurora;15
PN;Porto Nobre;Vara 2;Banco Vantis;9
LS;Porto Nobre;Vara 6;Banco Aurora;9
VN;Barra Limpa;Vara 1;Crediluz;73
BC;Porto Nobre;Vara 6;Banco Vantis;9
PN;Porto Nobre;Vara 1;Banco Aurora;13
SA;Porto Nobre;Vara 1;Banco Solaris;8
CV;Porto Nobre;Vara 4;Banco Aurora;13
PN;Porto Nobre;Vara 6;Banco Vantis;11
VN;Serra Nova;Vara 6;Banco Meridiano;15
VN;Porto Nobre;Vara 4;Banco Vantis;31
VN;Porto Nobre;Vara 2;Banco Vantis;22
TB;Porto Nobre;Vara 5;Banco Meridiano;17
CV;Porto Nobre;Vara 1;Banco Aurora;16
CV;Porto Nobre;Vara 5;Banco Aurora;17
MR;Vila Aurora;Vara 3;Crediluz;145
SA;Cruzeiro Novo;Vara 6;Banco Solaris;6
CV;Porto Nobre;Vara 6;Banco Meridiano;56
CV;Porto Nobre;Vara 1;Banco Aurora;20
SA;Porto Nobre;Vara 2;Banco Aurora;11
PN;Serra Nova;Vara 4;Crediluz;108
SA;Porto Nobre;Vara 1;Banco Aurora;15
SA;Pedra Fria;Vara 6;Norvel Crédito;11
MR;Cruzeiro Novo;Vara 2;Banco Meridiano;49
LS;Pedra Fria;Vara 1;Banco Meridiano;9
LS;Porto Nobre;Vara 4;Banco Aurora;9
IL;Lagoa Azul;Vara 4;Banco Vantis;7
CV;Porto Nobre;Vara 2;Banco Meridiano;10
SA;Porto Nobre;Vara 2;Banco Aurora;7
VN;Serra Nova;Vara 2;Banco Meridiano;33
PN;Porto Nobre;Vara 2;Banco Meridiano;18
PN;Lagoa Azul;Vara 4;Banco Aurora;19
SA;Porto Nobre;Vara 1;Crediluz;38
PN;Santa Elis;Vara 1;Banco Vantis;8
VN;Porto Nobre;Vara 1;Banco Meridiano;8
VN;Porto Nobre;Vara 2;Banco Aurora;12
TB;Porto Nobre;Vara 4;Banco Aurora;12
VN;Porto Nobre;Vara 3;Norvel Crédito;8
VN;Santa Elis;Vara 6;Banco Meridiano;15
SA;Lagoa Azul;Vara 2;Banco Meridiano;8
MR;Santa Elis;Vara 5;Banco Aurora;56
LS;Porto Nobre;Vara 1;Banco Aurora;26
CV;Serra Nova;Vara 6;Norvel Crédito;17
PN;Porto Nobre;Vara 4;Crediluz;22
SA;Porto Nobre;Vara 1;Banco Vantis;8
VN;Porto Nobre;Vara 1;Banco Aurora;9
SA;Vila Aurora;Vara 5;Banco Aurora;18
TB;Vila Aurora;Vara 3;Banco Vantis;9
VN;Pedra Fria;Vara 2;Banco Aurora;9
VN;Monte Claro do Vale;Vara 3;Banco Aurora;9
VN;Alto Rubro;Vara 6;Crediluz;18
PN;Monte Claro do Vale;Vara 2;Banco Aurora;12
LS;Porto Nobre;Vara 4;Banco Aurora;8
VN;Porto Nobre;Vara 3;Banco Aurora;16
VN;Porto Nobre;Vara 3;Banco Solaris;15
IL;Porto Nobre;Vara 2;Banco Meridiano;21
VN;Alto Rubro;Vara 2;Banco Meridiano;17
VN;Porto Nobre;Vara 3;Banco Aurora;15
VN;Serra Nova;Vara 1;Banco Aurora;9
SD;Alto Rubro;Vara 2;Banco Vantis;10
PN;Porto Nobre;Vara 3;Banco Aurora;12
LS;Porto Nobre;Vara 1;Banco Aurora;27
SA;Serra Nova;Vara 5;Banco Aurora;30
MR;Porto Nobre;Vara 2;Banco Aurora;641
VN;Vila Aurora;Vara 2;Crediluz;34
MR;Porto Nobre;Vara 4;Crediluz;86
VN;Serra Nova;Vara 5;Banco Aurora;10
CV;Alto Rubro;Vara 1;Banco Aurora;12
CV;Vila Aurora;Vara 4;Banco Aurora;16
SA;Pedra Fria;Vara 2;Banco Vantis;6
LS;Vila Aurora;Vara 4;Banco Meridiano;26
PN;Porto Nobre;Vara 4;Banco Aurora;18
LS;Barra Limpa;Vara 6;Banco Aurora;11
SA;Porto Nobre;Vara 6;Crediluz;36
VN;Barra Limpa;Vara 2;Banco Aurora;133
MR;Porto Nobre;Vara 6;Crediluz;111
VN;Serra Nova;Vara 6;Banco Meridiano;8
CV;Vila Aurora;Vara 2;Banco Solaris;16
CV;Porto Nobre;Vara 4;Banco Aurora;14
SA;Porto Nobre;Vara 3;Banco Meridiano;7
SA;Cruzeiro Novo;Vara 4;Banco Vantis;10
PN;Porto Nobre;Vara 5;Banco Aurora;19
BC;Cruzeiro Novo;Vara 2;Banco Aurora;20
LS;Pedra Fria;Vara 3;Banco Solaris;6
BC;Lagoa Azul;Vara 5;Banco Aurora;9
SA;Porto Nobre;Vara 6;Norvel Crédito;15
TB;Serra Nova;Vara 2;Banco Solaris;16
MR;Barra Limpa;Vara 4;Banco Vantis;21
CV;Lagoa Azul;Vara 6;Banco Aurora;20
PN;Porto Nobre;Vara 1;Banco Aurora;14
IL;Pedra Fria;Vara 2;Banco Vantis;16
MR;Porto Nobre;Vara 1;Crediluz;75
PN;Porto Nobre;Vara 2;Banco Aurora;8
SA;Porto Nobre;Vara 2;Banco Solaris;31
LS;Lagoa Azul;Vara 6;Banco Aurora;8
VN;Porto Nobre;Vara 1;Banco Aurora;10
TB;Santa Elis;Vara 6;Banco Aurora;17
CV;Porto Nobre;Vara 6;Banco Vantis;14
CV;Porto Nobre;Vara 1;Banco Meridiano;41
LS;Monte Claro do Vale;Vara 5;Banco Vantis;5
CV;Porto Nobre;Vara 3;Crediluz;36
PN;Porto Nobre;Vara 1;Banco Meridiano;10
CV;Porto Nobre;Vara 2;Banco Aurora;9
IL;Monte Claro do Vale;Vara 1;Banco Meridiano;23
SD;Porto Nobre;Vara 3;Banco Meridiano;11
TB;Porto Nobre;Vara 6;Banco Aurora;7
LS;Porto Nobre;Vara 3;Crediluz;15
PN;Porto Nobre;Vara 5;Banco Aurora;8
PN;Porto Nobre;Vara 6;Banco Vantis;21
LS;Porto Nobre;Vara 5;Crediluz;29
PN;Porto Nobre;Vara 2;Banco Aurora;18
SD;Lagoa Azul;Vara 2;Banco Meridiano;14
LS;Porto Nobre;Vara 5;Banco Aurora;29
LS;Porto Nobre;Vara 6;Banco Vantis;10
BC;Porto Nobre;Vara 6;Banco Aurora;7
CV;Monte Claro do Vale;Vara 1;Crediluz;16
TB;Barra Limpa;Vara 5;Banco Aurora;27
CV;Santa Elis;Vara 2;Banco Aurora;18
CV;Serra Nova;Vara 5;Banco Meridiano;21
SA;Lagoa Azul;Vara 5;Banco Aurora;42
SA;Porto Nobre;Vara 5;Banco Meridiano;8
MR;Alto Rubro;Vara 6;Banco Vantis;48
LS;Vila Aurora;Vara 3;Banco Solaris;11
SA;Porto Nobre;Vara 5;Crediluz;15
CV;Monte Claro do Vale;Vara 2;Banco Meridiano;20
VN;Porto Nobre;Vara 5;Banco Vantis;47
VN;Porto Nobre;Vara 2;Banco Vantis;22
PN;Porto Nobre;Vara 3;Crediluz;97
LS;Vila Aurora;Vara 2;Norvel Crédito;6
SA;Porto Nobre;Vara 1;Banco Meridiano;8
CV;Vila Aurora;Vara 3;Banco Aurora;38
CV;Monte Claro do Vale;Vara 1;Banco Aurora;21
SD;Porto Nobre;Vara 6;Banco Meridiano;16
BC;Porto Nobre;Vara 4;Banco Aurora;6
CV;Porto Nobre;Vara 2;Banco Vantis;16
SA;Porto Nobre;Vara 3;Banco Aurora;17
SA;Porto Nobre;Vara 4;Banco Vantis;9
VN;Porto Nobre;Vara 2;Banco Meridiano;10
VN;Porto Nobre;Vara 3;Banco Aurora;14
CV;Porto Nobre;Vara 1;Banco Meridiano;53
PN;Monte Claro do Vale;Vara 6;Banco Vantis;30
IL;Barra Limpa;Vara 4;Banco Meridiano;47
SD;Porto Nobre;Vara 3;Banco Vantis;5
SA;Santa Elis;Vara 6;Banco Vantis;8
CV;Porto Nobre;Vara 5;Banco Meridiano;21
LS;Serra Nova;Vara 4;Banco Meridiano;12
IL;Alto Rubro;Vara 1;Crediluz;42
CV;Porto Nobre;Vara 4;Crediluz;44
LS;Porto Nobre;Vara 3;Crediluz;12
